epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.164,1.17041,3.21151,1.34016,0.41216,0.32158,0.30206,0.22212,0.95071,2.04381,1.27483,0.0673554,0.000497126,0.000497126
2,209.445,1.01746,1.65815,1.25954,0.53781,0.37485,0.41463,0.30033,0.9757,2.08913,1.24376,0.034516,0.00099105,0.00099105
3,292.827,0.98129,1.46107,1.23912,0.67393,0.45252,0.50818,0.32933,1.27709,1.22632,1.29529,0.00165243,0.00146086,0.00146086
4,375.063,0.91047,1.23874,1.18647,0.73354,0.50188,0.5426,0.43299,0.73927,0.8338,1.02288,0.00141907,0.00141907,0.00141907
5,457.219,0.86029,1.09851,1.14377,0.76486,0.51913,0.55448,0.43345,0.75996,0.81613,1.01827,0.0013582,0.0013582,0.0013582
6,538.843,0.80641,1.00656,1.11391,0.80228,0.54027,0.58072,0.4264,0.94804,0.69711,1.0884,0.00128253,0.00128253,0.00128253
7,621.408,0.77971,0.94528,1.09279,0.81318,0.54355,0.58834,0.48036,0.64471,0.75496,0.9652,0.00119393,0.00119393,0.00119393
8,703.458,0.76519,0.89521,1.08202,0.8551,0.56174,0.60918,0.50724,0.61467,0.5587,0.9403,0.00109459,0.00109459,0.00109459
9,785.145,0.72449,0.82695,1.05907,0.84262,0.56058,0.61673,0.51992,0.55902,0.55241,0.93488,0.000986945,0.000986945,0.000986945
10,866.781,0.7028,0.78664,1.0467,0.86506,0.56996,0.62372,0.52406,0.58731,0.49012,0.92573,0.000873653,0.000873653,0.000873653
11,948.509,0.67335,0.74238,1.02483,0.84581,0.57253,0.62384,0.5086,0.67924,0.5364,0.96042,0.0007575,0.0007575,0.0007575
12,1030.1,0.65513,0.71677,1.01582,0.87033,0.58588,0.63013,0.54222,0.52739,0.41758,0.90207,0.000641347,0.000641347,0.000641347
13,1110.59,0.54425,0.49049,0.95778,0.87912,0.57552,0.63803,0.54113,0.58775,0.41717,0.91513,0.000528055,0.000528055,0.000528055
14,1189.37,0.51772,0.44855,0.9382,0.88633,0.57873,0.63809,0.55962,0.49012,0.37715,0.88517,0.000420412,0.000420412,0.000420412
15,1268.27,0.48574,0.41349,0.92007,0.90815,0.58088,0.64364,0.56882,0.45693,0.35828,0.87426,0.000321069,0.000321069,0.000321069
16,1347.07,0.46168,0.39532,0.90906,0.90853,0.59057,0.65269,0.57933,0.46076,0.34108,0.87316,0.000232473,0.000232473,0.000232473
17,1425.97,0.4474,0.37136,0.90207,0.90933,0.59816,0.6603,0.59051,0.434,0.32717,0.86242,0.000156805,0.000156805,0.000156805
18,1504.68,0.42686,0.35406,0.89232,0.91299,0.60005,0.66189,0.59212,0.44735,0.31831,0.86326,9.59277e-05,9.59277e-05,9.59277e-05
19,1583.28,0.4184,0.346,0.8878,0.90831,0.60321,0.66694,0.59908,0.43512,0.30364,0.85898,5.13405e-05,5.13405e-05,5.13405e-05
20,1661.92,0.40743,0.33506,0.88318,0.90351,0.60406,0.66762,0.6038,0.40983,0.29728,0.85359,2.41414e-05,2.41414e-05,2.41414e-05
