epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7839,1.96159,5.85334,1.96463,0.11822,0.00208,7e-05,5e-05,1.65071,inf,1.6726,0.09409,9e-05,9e-05
2,168.631,1.2753,4.83559,1.43393,0.00126,0.00468,0.00069,0.00052,1.74331,inf,1.92876,0.0871938,0.000193812,0.000193812
3,250.014,1.16412,4.07395,1.36246,0.00761,0.01286,0.00122,0.0008,1.49999,inf,1.56176,0.0802927,0.000292732,0.000292732
4,331.318,1.12653,3.6487,1.36402,0.02157,0.0297,0.01402,0.00965,1.41876,inf,1.65132,0.0733831,0.00038315,0.00038315
5,414.055,1.10422,3.31665,1.32897,0.05735,0.02825,0.01528,0.00896,1.57886,inf,1.81307,0.0664618,0.000461786,0.000461786
6,497.807,1.05695,3.13,1.32099,0.14839,0.04681,0.03202,0.0182,1.55129,inf,1.60057,0.0595258,0.000525836,0.000525836
7,582.462,0.98966,2.83505,1.26674,0.26344,0.09472,0.06395,0.04234,1.30015,inf,1.45476,0.0525731,0.000573087,0.000573087
8,668.21,1.01436,2.66662,1.29777,0.16192,0.10508,0.07829,0.04719,1.56355,inf,1.5999,0.045602,0.000602023,0.000602023
9,753.173,0.98937,2.44812,1.26704,0.2301,0.11165,0.08809,0.0552,1.46943,inf,1.4356,0.0386119,0.000611906,0.000611906
10,833.467,0.98755,2.32503,1.29785,0.21743,0.14584,0.12365,0.09181,1.09082,inf,1.29553,0.0316028,0.00060282,0.00060282
11,906.413,0.97645,2.19058,1.2798,0.19699,0.1402,0.1327,0.09063,1.37393,inf,1.4716,0.0245757,0.0005757,0.0005757
12,973.99,0.98115,1.99693,1.24545,0.29958,0.21899,0.20419,0.14875,1.13205,inf,1.33541,0.0175323,0.000532318,0.000532318
13,1024.22,0.85768,1.88053,1.23602,0.25471,0.14763,0.14893,0.10477,1.13002,inf,1.30941,0.0104752,0.000475249,0.000475249
14,1070.82,0.79719,1.66811,1.21526,0.34983,0.16056,0.17453,0.11994,1.13742,inf,1.28281,0.0034078,0.0004078,0.0004078
15,1107.42,0.79079,1.57568,1.19513,0.37292,0.23899,0.24129,0.1775,1.0309,4.60691,1.21942,0.000321069,0.000321069,0.000321069
16,1127.69,0.7301,1.44804,1.14764,0.40607,0.2741,0.27955,0.21689,0.90807,4.12635,1.15899,0.000232473,0.000232473,0.000232473
17,1143.37,0.7408,1.43309,1.16175,0.44395,0.30172,0.30883,0.24768,0.8283,3.84976,1.1226,0.000156805,0.000156805,0.000156805
18,1156.71,0.7348,1.3992,1.13735,0.48266,0.32626,0.33661,0.2737,0.77918,3.67537,1.09942,9.59277e-05,9.59277e-05,9.59277e-05
19,1170.71,0.73486,1.31329,1.14664,0.49671,0.33744,0.34936,0.28472,0.77011,3.62487,1.09214,5.13405e-05,5.13405e-05,5.13405e-05
20,1184.74,0.70209,1.26361,1.12573,0.50635,0.34514,0.35746,0.29199,0.76388,3.60262,1.08767,2.41414e-05,2.41414e-05,2.41414e-05
