epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.407,1.05823,3.17853,1.23459,0.46182,0.40477,0.38219,0.25974,1.46194,2.14549,1.42231,0.0671086,0.000332237,0.000332237
2,242.709,0.93948,1.67898,1.18348,0.61473,0.49125,0.54086,0.40384,1.12476,1.49429,1.25175,0.0341072,0.000664244,0.000664244
3,356.023,0.89768,1.41948,1.16778,0.60311,0.54873,0.60049,0.46998,0.96349,1.36692,1.14941,0.00110061,0.000990957,0.000990957
4,468.941,0.85711,1.26973,1.14551,0.62274,0.64902,0.68468,0.54044,0.87984,1.16048,1.12462,0.000982162,0.000982162,0.000982162
5,581.91,0.81161,1.13286,1.1197,0.69511,0.65707,0.71324,0.55775,0.91561,1.113,1.12282,0.000968436,0.000968436,0.000968436
6,694.906,0.78657,1.07741,1.10168,0.71843,0.66422,0.73052,0.57913,0.94183,0.97685,1.11985,0.00095098,0.00095098,0.00095098
7,807.769,0.7439,0.98815,1.07449,0.74641,0.64422,0.7355,0.55886,1.0087,0.95098,1.14952,0.000929932,0.000929932,0.000929932
8,920.447,0.73136,0.94846,1.06225,0.73208,0.66938,0.72457,0.57331,0.84822,0.92727,1.08574,0.000905463,0.000905463,0.000905463
9,1033.02,0.70882,0.90387,1.05267,0.73788,0.68925,0.78023,0.63908,0.81408,0.83671,1.07597,0.00087777,0.00087777,0.00087777
10,1146.13,0.68154,0.84871,1.03255,0.74379,0.68427,0.78095,0.61654,0.95435,0.84075,1.11904,0.000847076,0.000847076,0.000847076
11,1258.89,0.65696,0.81115,1.0243,0.67036,0.75675,0.77492,0.61999,0.85804,0.78689,1.08166,0.000813627,0.000813627,0.000813627
12,1371.94,0.65317,0.78682,1.01954,0.729,0.73164,0.79351,0.64968,0.7713,0.77924,1.05647,0.000777694,0.000777694,0.000777694
13,1484.88,0.63542,0.76157,1.01091,0.77727,0.72171,0.8195,0.64565,0.95111,0.73615,1.10552,0.000739565,0.000739565,0.000739565
14,1597.99,0.62354,0.73173,1.00442,0.79011,0.73166,0.82845,0.64801,0.97317,0.72981,1.11109,0.000699547,0.000699547,0.000699547
15,1711,0.62265,0.71878,1.00714,0.78755,0.76013,0.83496,0.70388,0.74368,0.6698,1.02616,0.000657963,0.000657963,0.000657963
16,1823.9,0.6065,0.69753,0.99685,0.83181,0.7434,0.83153,0.69554,0.76292,0.69704,1.03605,0.000615148,0.000615148,0.000615148
17,1936.97,0.5932,0.67131,0.98163,0.74589,0.79042,0.85437,0.71597,0.75583,0.65258,1.02749,0.000571445,0.000571445,0.000571445
18,2050.1,0.59391,0.66589,0.98369,0.82905,0.72517,0.84006,0.70605,0.75157,0.65824,1.03489,0.000527208,0.000527208,0.000527208
19,2162.79,0.57119,0.6277,0.9737,0.72503,0.81648,0.8714,0.71638,0.78775,0.61675,1.02288,0.000482792,0.000482792,0.000482792
20,2275.19,0.5672,0.62035,0.9723,0.7278,0.83807,0.87182,0.73305,0.74596,0.60004,1.0133,0.000438555,0.000438555,0.000438555
21,2387.79,0.55949,0.59377,0.96766,0.75049,0.82382,0.87736,0.71881,0.8382,0.61936,1.03936,0.000394852,0.000394852,0.000394852
22,2500.83,0.54496,0.57743,0.95935,0.78437,0.7848,0.87706,0.73871,0.72624,0.58696,1.00528,0.000352037,0.000352037,0.000352037
23,2613.44,0.52959,0.55185,0.95315,0.7257,0.84435,0.89639,0.75642,0.71399,0.55493,1.00209,0.000310453,0.000310453,0.000310453
24,2726.31,0.53313,0.54722,0.9532,0.8527,0.79039,0.89003,0.7464,0.73919,0.5439,1.01057,0.000270435,0.000270435,0.000270435
25,2838.98,0.52176,0.53217,0.94637,0.82265,0.80257,0.88601,0.74998,0.71279,0.55081,0.99693,0.000232306,0.000232306,0.000232306
26,2951.33,0.43692,0.38543,0.90195,0.7902,0.8093,0.87575,0.73994,0.73304,0.56082,1.00695,0.000196373,0.000196373,0.000196373
27,3063.33,0.4222,0.35838,0.89151,0.78126,0.81708,0.88869,0.75264,0.70988,0.55123,1.00305,0.000162924,0.000162924,0.000162924
28,3175.06,0.42116,0.35926,0.89139,0.77442,0.81444,0.8867,0.73871,0.78065,0.54325,1.01797,0.00013223,0.00013223,0.00013223
29,3286.94,0.40362,0.33637,0.87987,0.76472,0.84635,0.8977,0.75558,0.72733,0.51837,1.00123,0.000104537,0.000104537,0.000104537
30,3398.82,0.40281,0.33364,0.88146,0.86636,0.79023,0.89378,0.76544,0.68209,0.51276,0.98608,8.00678e-05,8.00678e-05,8.00678e-05
31,3510.84,0.39102,0.32043,0.87532,0.82735,0.81563,0.89527,0.76403,0.69708,0.5021,0.98607,5.90204e-05,5.90204e-05,5.90204e-05
32,3622.51,0.38819,0.31462,0.87371,0.79834,0.83738,0.89611,0.76379,0.70343,0.50278,0.99157,4.15637e-05,4.15637e-05,4.15637e-05
33,3734.38,0.37945,0.30576,0.86916,0.83422,0.81252,0.89256,0.76244,0.68625,0.4924,0.98323,2.78384e-05,2.78384e-05,2.78384e-05
34,3846.4,0.3773,0.30182,0.86589,0.83088,0.82717,0.89681,0.76584,0.67699,0.49005,0.97889,1.79549e-05,1.79549e-05,1.79549e-05
35,3958.28,0.3774,0.30231,0.86715,0.80949,0.84111,0.8999,0.76718,0.693,0.49373,0.9833,1.19927e-05,1.19927e-05,1.19927e-05
