epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.351,0.86117,2.30472,1.13302,0.66038,0.45852,0.51028,0.41881,0.63676,1.18509,1.01558,0.0671096,0.000332226,0.000332226
2,301.105,0.76823,1.16979,1.06647,0.74411,0.47603,0.55041,0.45374,0.61147,1.20417,0.99575,0.0341078,0.000663754,0.000663754
3,445.351,0.73943,1.01314,1.05011,0.78286,0.53785,0.58315,0.48579,0.56645,0.67139,0.95033,0.00109883,0.000988088,0.000988088
4,589.075,0.67134,0.84676,1.00386,0.80428,0.5715,0.60139,0.51755,0.49705,0.57518,0.92437,0.000975773,0.000975773,0.000975773
5,732.729,0.63349,0.77997,0.98483,0.85762,0.56337,0.60987,0.52467,0.50393,0.53495,0.92322,0.000957205,0.000957205,0.000957205
6,876.439,0.59974,0.70815,0.96409,0.85193,0.57683,0.61819,0.54094,0.44495,0.48314,0.89782,0.000933683,0.000933683,0.000933683
7,1019.97,0.57109,0.65554,0.95156,0.87878,0.574,0.63103,0.56272,0.42689,0.42869,0.87041,0.000905463,0.000905463,0.000905463
8,1163.53,0.56314,0.61956,0.94318,0.89089,0.5803,0.63882,0.57828,0.39541,0.37717,0.86459,0.000872857,0.000872857,0.000872857
9,1306.92,0.53266,0.57908,0.92736,0.87237,0.58348,0.62701,0.56406,0.39073,0.37634,0.86576,0.00083622,0.00083622,0.00083622
10,1449.62,0.52479,0.55844,0.92729,0.9102,0.58854,0.64679,0.5896,0.36457,0.31984,0.84777,0.000795954,0.000795954,0.000795954
11,1592.61,0.5092,0.54224,0.92099,0.91483,0.59437,0.65491,0.59504,0.37959,0.3284,0.85271,0.0007525,0.0007525,0.0007525
12,1735.89,0.4982,0.51302,0.91128,0.91259,0.59314,0.6497,0.59617,0.34986,0.30142,0.84036,0.000706335,0.000706335,0.000706335
13,1878.98,0.47542,0.49423,0.90261,0.91322,0.5935,0.65609,0.60061,0.35141,0.30106,0.84087,0.000657963,0.000657963,0.000657963
14,2022.34,0.46735,0.46768,0.89565,0.9026,0.60065,0.65547,0.60547,0.3392,0.28767,0.83558,0.000607916,0.000607916,0.000607916
15,2165.5,0.45358,0.4491,0.8899,0.90794,0.60559,0.66483,0.61663,0.32586,0.27296,0.82965,0.000556742,0.000556742,0.000556742
16,2308.8,0.44365,0.43743,0.88636,0.93362,0.60207,0.67415,0.62617,0.32624,0.26733,0.82722,0.000505,0.000505,0.000505
17,2452.33,0.43955,0.42593,0.88402,0.9315,0.6038,0.67547,0.63036,0.31245,0.25483,0.82234,0.000453258,0.000453258,0.000453258
18,2595.99,0.42973,0.41299,0.87898,0.94095,0.59878,0.67359,0.63086,0.31252,0.2572,0.82212,0.000402084,0.000402084,0.000402084
19,2739.31,0.42131,0.40487,0.87715,0.93779,0.59963,0.67265,0.62808,0.32018,0.24487,0.82201,0.000352037,0.000352037,0.000352037
20,2882.15,0.40456,0.37801,0.87052,0.93818,0.60248,0.68267,0.64311,0.29965,0.23973,0.81653,0.000303665,0.000303665,0.000303665
21,3024.57,0.33099,0.26942,0.83244,0.93671,0.60322,0.67974,0.63864,0.30773,0.2397,0.81702,0.0002575,0.0002575,0.0002575
22,3165.28,0.32335,0.25954,0.82843,0.94557,0.60359,0.69838,0.65861,0.29213,0.23192,0.8132,0.000214046,0.000214046,0.000214046
23,3306.39,0.31193,0.24376,0.82413,0.94544,0.60624,0.70302,0.66678,0.2846,0.22183,0.81134,0.00017378,0.00017378,0.00017378
24,3447.37,0.29936,0.23042,0.82023,0.95529,0.60436,0.69989,0.66398,0.28396,0.21386,0.80793,0.000137143,0.000137143,0.000137143
25,3588.21,0.28959,0.21871,0.81698,0.95666,0.60798,0.71116,0.6788,0.27233,0.20039,0.80486,0.000104537,0.000104537,0.000104537
26,3729.03,0.28022,0.20849,0.81355,0.95478,0.60974,0.71499,0.68214,0.26994,0.19636,0.80368,7.63174e-05,7.63174e-05,7.63174e-05
27,3870,0.2754,0.1999,0.81115,0.94513,0.61593,0.7176,0.68537,0.26443,0.19278,0.80299,5.2795e-05,5.2795e-05,5.2795e-05
28,4010.84,0.26876,0.19684,0.80893,0.95911,0.61066,0.72376,0.69335,0.26157,0.18963,0.80104,3.4227e-05,3.4227e-05,3.4227e-05
29,4151.72,0.26849,0.19426,0.80816,0.96431,0.61039,0.72399,0.69352,0.26114,0.18682,0.80152,2.08169e-05,2.08169e-05,2.08169e-05
30,4292.55,0.26514,0.18849,0.80723,0.96425,0.61038,0.72652,0.69654,0.2573,0.1845,0.80112,1.27117e-05,1.27117e-05,1.27117e-05
