epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.686,0.93751,2.60762,1.19015,0.66574,0.42406,0.47876,0.34462,1.08525,1.13907,1.18094,0.0671315,0.000332005,0.000332005
2,283.571,0.81081,1.18293,1.09936,0.73371,0.4951,0.5476,0.44738,0.67221,0.8089,1.02879,0.0341307,0.000664536,0.000664536
3,421.984,0.76797,0.99494,1.07092,0.7448,0.52004,0.5673,0.4675,0.6292,0.72776,0.98445,0.00112666,0.000993861,0.000993861
4,559.961,0.71898,0.88699,1.04239,0.79289,0.52637,0.58,0.48155,0.60847,0.64218,0.96502,0.000989183,0.000989183,0.000989183
5,697.67,0.69474,0.82179,1.02947,0.83526,0.53749,0.59756,0.5071,0.54655,0.5451,0.93089,0.000980825,0.000980825,0.000980825
6,835.113,0.66165,0.74337,1.00819,0.83677,0.54031,0.59861,0.51789,0.49897,0.5036,0.91654,0.000970148,0.000970148,0.000970148
7,972.601,0.6256,0.69531,0.9884,0.84716,0.5607,0.60942,0.52931,0.50551,0.44939,0.90618,0.000957205,0.000957205,0.000957205
8,1109.75,0.59675,0.63905,0.97382,0.88081,0.56264,0.62229,0.54664,0.47195,0.40471,0.89417,0.000942059,0.000942059,0.000942059
9,1247.15,0.58434,0.61364,0.96357,0.84561,0.5751,0.62217,0.54905,0.46229,0.40009,0.89255,0.000924784,0.000924784,0.000924784
10,1384.77,0.57596,0.59834,0.95805,0.88516,0.56607,0.6278,0.55806,0.42652,0.37929,0.88527,0.000905463,0.000905463,0.000905463
11,1522.46,0.55434,0.58072,0.95156,0.87798,0.57322,0.62423,0.55819,0.41641,0.38121,0.87553,0.000884192,0.000884192,0.000884192
12,1660.13,0.54555,0.55566,0.94401,0.87297,0.57779,0.62604,0.54595,0.49343,0.37231,0.89814,0.000861073,0.000861073,0.000861073
13,1797.57,0.52772,0.53577,0.93544,0.85929,0.5877,0.64651,0.58068,0.41534,0.34506,0.8692,0.00083622,0.00083622,0.00083622
14,1934.8,0.51579,0.52662,0.93136,0.90047,0.57007,0.64545,0.58145,0.40148,0.34373,0.86825,0.000809752,0.000809752,0.000809752
15,2072.4,0.5123,0.51451,0.92843,0.87775,0.58177,0.64391,0.57939,0.40222,0.33012,0.86776,0.0007818,0.0007818,0.0007818
16,2209.69,0.49622,0.49053,0.9209,0.89712,0.58373,0.63973,0.57802,0.39269,0.31643,0.86186,0.0007525,0.0007525,0.0007525
17,2346.86,0.48158,0.47534,0.9155,0.8892,0.58443,0.64631,0.59015,0.38127,0.31846,0.85723,0.000721994,0.000721994,0.000721994
18,2483.88,0.48761,0.47197,0.9156,0.89944,0.58839,0.65204,0.59915,0.36171,0.2905,0.84862,0.00069043,0.00069043,0.00069043
19,2620.86,0.47234,0.44972,0.90874,0.90761,0.58067,0.65046,0.59435,0.38213,0.29279,0.85197,0.000657963,0.000657963,0.000657963
20,2757.79,0.45494,0.43162,0.89988,0.90916,0.59071,0.66631,0.60984,0.37576,0.28027,0.84939,0.000624751,0.000624751,0.000624751
21,2895.09,0.4587,0.43424,0.90176,0.9069,0.59024,0.65649,0.60391,0.35957,0.28431,0.84714,0.000590956,0.000590956,0.000590956
22,3032.33,0.44695,0.41368,0.89583,0.91546,0.58811,0.66321,0.61203,0.34691,0.2726,0.84328,0.000556742,0.000556742,0.000556742
23,3169.26,0.43601,0.4104,0.89301,0.90001,0.5938,0.6627,0.61283,0.34601,0.26824,0.8398,0.000522275,0.000522275,0.000522275
24,3306.69,0.43817,0.41341,0.89465,0.9054,0.59554,0.66324,0.61598,0.3319,0.26311,0.839,0.000487725,0.000487725,0.000487725
25,3443.54,0.42283,0.38553,0.88451,0.92471,0.58786,0.67125,0.62571,0.32751,0.25607,0.83519,0.000453258,0.000453258,0.000453258
26,3580.99,0.4196,0.38844,0.8855,0.92122,0.59082,0.66977,0.62474,0.32515,0.25277,0.83469,0.000419044,0.000419044,0.000419044
27,3718.34,0.41392,0.3759,0.8818,0.91879,0.59013,0.66914,0.62658,0.31514,0.249,0.83221,0.000385249,0.000385249,0.000385249
28,3855.46,0.39537,0.34959,0.87319,0.93069,0.5894,0.68143,0.63454,0.33737,0.24693,0.83477,0.000352037,0.000352037,0.000352037
29,3992.68,0.3997,0.36417,0.87648,0.92312,0.59498,0.68206,0.63775,0.32565,0.23788,0.83085,0.00031957,0.00031957,0.00031957
30,4129.9,0.39193,0.34851,0.87399,0.91185,0.59884,0.67862,0.6352,0.31868,0.23776,0.83014,0.000288006,0.000288006,0.000288006
31,4266.97,0.38331,0.34349,0.86855,0.91963,0.59431,0.68683,0.64485,0.32196,0.23961,0.83067,0.0002575,0.0002575,0.0002575
32,4404.24,0.3816,0.33335,0.868,0.94289,0.5875,0.69528,0.65674,0.30622,0.22653,0.82627,0.0002282,0.0002282,0.0002282
33,4541.61,0.37779,0.32753,0.86785,0.94553,0.59003,0.69501,0.65431,0.314,0.22281,0.82694,0.000200248,0.000200248,0.000200248
34,4678.59,0.36576,0.31952,0.86325,0.94108,0.59445,0.69556,0.65532,0.30735,0.21888,0.82444,0.00017378,0.00017378,0.00017378
35,4815.68,0.36011,0.30978,0.8595,0.94866,0.59046,0.69655,0.65704,0.30641,0.21864,0.82461,0.000148927,0.000148927,0.000148927
36,4952.61,0.32516,0.22525,0.83761,0.9504,0.59142,0.69668,0.65768,0.30112,0.21837,0.82406,0.000125808,0.000125808,0.000125808
37,5087.59,0.31344,0.21478,0.83254,0.94369,0.59255,0.70044,0.66099,0.30503,0.21937,0.82446,0.000104537,0.000104537,0.000104537
38,5222.42,0.30157,0.20997,0.82779,0.94445,0.59385,0.69289,0.65592,0.30138,0.21605,0.82388,8.52162e-05,8.52162e-05,8.52162e-05
39,5357.03,0.29575,0.20346,0.82422,0.95029,0.59328,0.70203,0.66563,0.29311,0.20897,0.82114,6.79409e-05,6.79409e-05,6.79409e-05
40,5491.77,0.28876,0.20067,0.82214,0.94629,0.5944,0.69472,0.6582,0.29429,0.21109,0.82169,5.2795e-05,5.2795e-05,5.2795e-05
41,5626.43,0.28474,0.19909,0.82124,0.95041,0.59376,0.69174,0.65368,0.30356,0.21189,0.82293,3.98522e-05,3.98522e-05,3.98522e-05
42,5761.24,0.28064,0.19439,0.81923,0.94495,0.59762,0.69969,0.66231,0.29993,0.20822,0.82156,2.91755e-05,2.91755e-05,2.91755e-05
43,5895.83,0.27829,0.19368,0.81934,0.93872,0.6,0.70484,0.66818,0.29592,0.20348,0.82073,2.08169e-05,2.08169e-05,2.08169e-05
44,6030.74,0.27466,0.19041,0.81667,0.94687,0.59699,0.70332,0.66682,0.29563,0.20316,0.82064,1.48173e-05,1.48173e-05,1.48173e-05
45,6165.55,0.2687,0.18507,0.81507,0.95297,0.59516,0.70453,0.66921,0.29067,0.20173,0.81981,1.12058e-05,1.12058e-05,1.12058e-05
