epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.398,0.7745,2.0511,1.10018,0.70877,0.47287,0.52045,0.44405,0.56686,1.04043,1.01427,0.0670791,0.000332534,0.000332534
2,406.966,0.67181,1.01685,1.02897,0.83585,0.53415,0.58486,0.51322,0.46084,0.57522,0.94049,0.0340773,0.000664062,0.000664062
3,608.18,0.62193,0.83091,0.99668,0.85489,0.54969,0.6072,0.54292,0.40579,0.47664,0.9029,0.00106833,0.000988392,0.000988392
4,807.525,0.57935,0.72918,0.96918,0.86957,0.56447,0.61211,0.55243,0.39506,0.44011,0.90016,0.000975773,0.000975773,0.000975773
5,1006.88,0.54438,0.64989,0.9511,0.88536,0.56559,0.62151,0.56539,0.37293,0.39945,0.8795,0.000957205,0.000957205,0.000957205
6,1206.13,0.51913,0.60358,0.93521,0.88252,0.57209,0.6268,0.5696,0.37947,0.4039,0.87632,0.000933683,0.000933683,0.000933683
7,1406.41,0.50148,0.5707,0.92848,0.88999,0.5702,0.63282,0.58083,0.36064,0.37971,0.8741,0.000905463,0.000905463,0.000905463
8,1606.02,0.47834,0.52704,0.91272,0.90047,0.58062,0.64262,0.59178,0.33795,0.33119,0.85917,0.000872857,0.000872857,0.000872857
9,1805.13,0.46658,0.50075,0.90806,0.88797,0.58,0.64103,0.59771,0.31982,0.31006,0.85436,0.00083622,0.00083622,0.00083622
10,2005.36,0.45174,0.47206,0.89874,0.90572,0.57929,0.63902,0.59151,0.33814,0.2988,0.85725,0.000795954,0.000795954,0.000795954
11,2204.43,0.43441,0.44733,0.89332,0.88754,0.58919,0.6562,0.6133,0.32062,0.28006,0.85148,0.0007525,0.0007525,0.0007525
12,2403.56,0.4278,0.43432,0.88871,0.9164,0.58055,0.65861,0.61567,0.31951,0.27341,0.8483,0.000706335,0.000706335,0.000706335
13,2602.94,0.41692,0.41365,0.88039,0.93177,0.58657,0.66919,0.62719,0.3012,0.24882,0.84151,0.000657963,0.000657963,0.000657963
14,2802.02,0.40615,0.39872,0.87948,0.88994,0.59952,0.67524,0.6344,0.28921,0.25035,0.83956,0.000607916,0.000607916,0.000607916
15,3001.13,0.39555,0.38192,0.87387,0.91892,0.58901,0.67048,0.63222,0.29807,0.24697,0.84129,0.000556742,0.000556742,0.000556742
16,3200.16,0.39062,0.37212,0.86994,0.92515,0.59271,0.67828,0.64165,0.28459,0.22587,0.83532,0.000505,0.000505,0.000505
17,3399.51,0.37614,0.35333,0.86429,0.94158,0.58832,0.68109,0.64445,0.28508,0.22934,0.83571,0.000453258,0.000453258,0.000453258
18,3598.95,0.37221,0.34334,0.86323,0.92324,0.59466,0.67592,0.64124,0.27362,0.225,0.83188,0.000402084,0.000402084,0.000402084
19,3798.59,0.36011,0.32948,0.85779,0.94267,0.58904,0.68512,0.6496,0.27229,0.21726,0.82954,0.000352037,0.000352037,0.000352037
20,3997.42,0.35035,0.31743,0.85485,0.93791,0.59044,0.68298,0.6509,0.26529,0.21095,0.82747,0.000303665,0.000303665,0.000303665
21,4192.94,0.27748,0.21444,0.81607,0.93374,0.59142,0.69444,0.66009,0.26773,0.21799,0.82779,0.0002575,0.0002575,0.0002575
22,4386.17,0.26934,0.20889,0.81217,0.9265,0.59236,0.69702,0.66462,0.26179,0.21783,0.8283,0.000214046,0.000214046,0.000214046
23,4579.47,0.25932,0.1935,0.80825,0.94876,0.58854,0.70977,0.67982,0.25378,0.20301,0.82418,0.00017378,0.00017378,0.00017378
24,4772.52,0.24935,0.1812,0.80428,0.95206,0.5908,0.71575,0.68571,0.25357,0.19565,0.8245,0.000137143,0.000137143,0.000137143
25,4965.56,0.24275,0.17496,0.80274,0.95591,0.5919,0.70507,0.67647,0.2501,0.1937,0.82362,0.000104537,0.000104537,0.000104537
26,5159.07,0.23473,0.16702,0.80059,0.95284,0.59496,0.72919,0.69936,0.24669,0.18579,0.82329,7.63174e-05,7.63174e-05,7.63174e-05
27,5353.33,0.23047,0.16346,0.79955,0.95561,0.59633,0.72675,0.69857,0.2451,0.1823,0.82324,5.2795e-05,5.2795e-05,5.2795e-05
28,5546.26,0.22554,0.15773,0.79831,0.95572,0.59431,0.72782,0.70114,0.24389,0.181,0.8221,3.4227e-05,3.4227e-05,3.4227e-05
29,5739.21,0.22115,0.15313,0.79698,0.95469,0.59751,0.73463,0.70728,0.24085,0.17697,0.82141,2.08169e-05,2.08169e-05,2.08169e-05
30,5932.21,0.21829,0.15111,0.79503,0.95829,0.59493,0.73402,0.7068,0.23935,0.17637,0.82093,1.27117e-05,1.27117e-05,1.27117e-05
