epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.85,0.98417,2.87272,1.19747,0.60324,0.38765,0.38596,0.30164,0.75934,1.36092,1.07771,0.000331349,0.000331349,0.0671964
2,199.099,0.81515,1.23066,1.08684,0.7096,0.4528,0.47576,0.37963,0.6951,1.07039,1.04403,0.000662088,0.000662088,0.0341938
3,292.173,0.7854,1.04777,1.06138,0.77095,0.498,0.52495,0.42468,0.62881,0.78728,0.99469,0.000982495,0.000982495,0.00118091
4,384.88,0.7402,0.93308,1.04081,0.79974,0.52347,0.54937,0.43916,0.68657,0.72243,0.9824,0.000965239,0.000965239,0.000965239
5,477.306,0.70095,0.83506,1.01452,0.79364,0.53689,0.5529,0.47059,0.5229,0.60111,0.92316,0.000938772,0.000938772,0.000938772
6,569.742,0.66776,0.77569,0.99503,0.84852,0.55712,0.57391,0.48967,0.50844,0.48422,0.91516,0.000905463,0.000905463,0.000905463
7,661.796,0.6512,0.6976,0.9788,0.85794,0.55939,0.57887,0.49883,0.4881,0.45165,0.8958,0.000865839,0.000865839,0.000865839
8,753.626,0.61538,0.67307,0.96791,0.84036,0.56153,0.57503,0.48687,0.55304,0.4605,0.91546,0.000820525,0.000820525,0.000820525
9,845.404,0.60074,0.63888,0.95923,0.86387,0.57047,0.58202,0.49955,0.51118,0.40442,0.89216,0.000770234,0.000770234,0.000770234
10,937.203,0.58675,0.62069,0.95391,0.8876,0.57147,0.59605,0.52244,0.44326,0.36826,0.86846,0.000715761,0.000715761,0.000715761
11,1029.3,0.57259,0.58383,0.94121,0.87496,0.57627,0.59265,0.52677,0.40718,0.36169,0.85873,0.000657963,0.000657963,0.000657963
12,1121.39,0.55594,0.56404,0.93531,0.89976,0.57226,0.59144,0.52612,0.4304,0.34825,0.86143,0.000597754,0.000597754,0.000597754
13,1213.71,0.5497,0.53181,0.92908,0.90039,0.57997,0.59807,0.53561,0.40167,0.34355,0.85201,0.000536081,0.000536081,0.000536081
14,1305.42,0.51734,0.49962,0.91489,0.86167,0.59671,0.60104,0.5412,0.39306,0.31442,0.84742,0.000473919,0.000473919,0.000473919
15,1397.41,0.50938,0.48648,0.91198,0.88774,0.59147,0.6021,0.54317,0.38902,0.30638,0.84983,0.000412246,0.000412246,0.000412246
16,1488.77,0.45665,0.36847,0.88843,0.90049,0.58451,0.60082,0.5385,0.39193,0.31033,0.84943,0.000352037,0.000352037,0.000352037
17,1578.45,0.43445,0.34313,0.8787,0.89757,0.58765,0.60541,0.54874,0.35838,0.30149,0.84043,0.000294239,0.000294239,0.000294239
18,1668.18,0.42263,0.32246,0.86915,0.9199,0.58494,0.60541,0.55266,0.34965,0.28807,0.83235,0.000239766,0.000239766,0.000239766
19,1757.67,0.40306,0.3035,0.86103,0.92338,0.58725,0.60678,0.55733,0.33613,0.27279,0.82849,0.000189475,0.000189475,0.000189475
20,1847.09,0.38938,0.29579,0.85601,0.93514,0.58503,0.60962,0.56146,0.33118,0.25866,0.82503,0.000144161,0.000144161,0.000144161
21,1936.56,0.37511,0.27364,0.85043,0.93881,0.58315,0.61149,0.5654,0.32666,0.24827,0.82264,0.000104537,0.000104537,0.000104537
22,2026.26,0.36412,0.26583,0.84467,0.93422,0.58749,0.6089,0.56365,0.31927,0.24617,0.81967,7.12282e-05,7.12282e-05,7.12282e-05
23,2115.7,0.35672,0.25558,0.84241,0.92733,0.59132,0.60922,0.56575,0.31422,0.23602,0.81831,4.47606e-05,4.47606e-05,4.47606e-05
24,2205.3,0.34751,0.25002,0.83952,0.93446,0.58998,0.60889,0.56622,0.311,0.23272,0.81719,2.55513e-05,2.55513e-05,2.55513e-05
25,2294.92,0.34359,0.2422,0.83798,0.9328,0.59192,0.60976,0.567,0.31078,0.23047,0.81661,1.39032e-05,1.39032e-05,1.39032e-05
