epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.815,0.79634,1.99879,1.11132,0.73153,0.47226,0.49718,0.39597,0.65066,0.95959,1.054,0.000332534,0.000332534,0.0670791
2,451.228,0.70466,1.00666,1.04299,0.78607,0.53081,0.55335,0.46948,0.52035,0.69505,0.95216,0.000664062,0.000664062,0.0340773
3,672.377,0.64568,0.8373,1.00191,0.83063,0.54313,0.56642,0.4942,0.47439,0.58063,0.92333,0.000988392,0.000988392,0.00106833
4,893.083,0.62026,0.77294,0.98715,0.85986,0.55761,0.58193,0.50929,0.44709,0.49157,0.90489,0.000975773,0.000975773,0.000975773
5,1113.81,0.58306,0.67593,0.96337,0.84922,0.57923,0.5921,0.52587,0.42615,0.48465,0.88448,0.000957205,0.000957205,0.000957205
6,1334.59,0.55002,0.62274,0.94485,0.86768,0.5871,0.59518,0.53427,0.40079,0.40137,0.8749,0.000933683,0.000933683,0.000933683
7,1555.37,0.5212,0.58187,0.93196,0.87257,0.57896,0.59309,0.53761,0.38123,0.38004,0.86674,0.000905463,0.000905463,0.000905463
8,222.957,0.50652,0.54967,0.9246,0.89586,0.57418,0.59249,0.54477,0.34821,0.36845,0.8548,0.000872857,0.000872857,0.000872857
9,443.954,0.48336,0.52174,0.91295,0.89793,0.58271,0.60268,0.54578,0.3689,0.35304,0.86199,0.00083622,0.00083622,0.00083622
10,665.001,0.46207,0.47704,0.89983,0.89498,0.58055,0.60205,0.55316,0.33789,0.33063,0.85014,0.000795954,0.000795954,0.000795954
11,885.501,0.45814,0.46785,0.89777,0.90462,0.58355,0.60517,0.55963,0.31445,0.30253,0.84094,0.0007525,0.0007525,0.0007525
12,1106.23,0.44053,0.44271,0.88986,0.91147,0.59034,0.60944,0.56301,0.32074,0.28312,0.83891,0.000706335,0.000706335,0.000706335
13,1327.12,0.4281,0.41806,0.88334,0.92115,0.58396,0.60936,0.56565,0.31245,0.26546,0.83746,0.000657963,0.000657963,0.000657963
14,1547.92,0.41918,0.40684,0.88054,0.91302,0.58326,0.60335,0.56111,0.30436,0.26183,0.83543,0.000607916,0.000607916,0.000607916
15,1768.43,0.41574,0.40633,0.87846,0.93274,0.58563,0.61047,0.56878,0.29621,0.25285,0.82957,0.000556742,0.000556742,0.000556742
16,1988.81,0.40416,0.3889,0.87424,0.93205,0.58828,0.61096,0.57071,0.28835,0.24215,0.82986,0.000505,0.000505,0.000505
17,2210.13,0.39446,0.37457,0.87086,0.9247,0.59333,0.60715,0.57276,0.28732,0.2419,0.82979,0.000453258,0.000453258,0.000453258
18,2430.96,0.38076,0.35359,0.86359,0.91683,0.59951,0.60931,0.57185,0.28502,0.24063,0.82666,0.000402084,0.000402084,0.000402084
