epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.434,1.01938,2.86956,1.27973,0.44126,0.38765,0.39054,0.29006,1.15527,2.30755,1.36125,0.0671626,0.000331691,0.000331691
2,241.477,0.91563,1.47122,1.20499,0.53177,0.47981,0.51106,0.34232,1.3201,1.86361,1.37644,0.0341615,0.00066401,0.00066401
3,354.844,0.89339,1.27988,1.1872,0.57723,0.53702,0.59749,0.42482,1.21744,1.56832,1.36733,0.00115648,0.000992274,0.000992274
4,468.215,0.85886,1.16227,1.1592,0.65743,0.58837,0.6562,0.45462,1.28132,1.23247,1.35145,0.000986323,0.000986323,0.000986323
5,581.383,0.81115,1.04039,1.12842,0.64783,0.69369,0.73365,0.5119,1.26742,1.08804,1.32545,0.000975773,0.000975773,0.000975773
6,694.607,0.77574,0.97074,1.10322,0.70403,0.69019,0.76547,0.5501,1.21927,0.95696,1.25011,0.00096232,0.00096232,0.00096232
7,807.943,0.73611,0.89517,1.08068,0.69895,0.74759,0.79627,0.58743,1.1087,0.88418,1.21216,0.000946048,0.000946048,0.000946048
8,920.704,0.71924,0.8662,1.06382,0.7145,0.70934,0.77669,0.61968,0.90509,0.86071,1.10829,0.000927057,0.000927057,0.000927057
9,1033.66,0.70364,0.80256,1.0516,0.7435,0.74607,0.81252,0.55354,1.37161,0.85117,1.3181,0.000905463,0.000905463,0.000905463
10,1146.35,0.68765,0.79669,1.04693,0.69814,0.73925,0.78927,0.63769,0.83948,0.77305,1.06927,0.000881401,0.000881401,0.000881401
11,1259.74,0.66036,0.76518,1.02999,0.73825,0.79989,0.85297,0.66943,0.94727,0.72114,1.11155,0.000855018,0.000855018,0.000855018
12,1373.14,0.64607,0.71992,1.01835,0.76462,0.77763,0.84859,0.68523,0.88688,0.70466,1.08636,0.000826477,0.000826477,0.000826477
13,1486.58,0.62931,0.67852,1.0042,0.72784,0.77793,0.83969,0.69405,0.79414,0.70127,1.06618,0.000795954,0.000795954,0.000795954
14,1600.21,0.6133,0.66011,1.00035,0.78722,0.77226,0.8554,0.70187,0.751,0.63969,1.04416,0.000763637,0.000763637,0.000763637
15,1713.87,0.60686,0.64715,0.99452,0.79323,0.7616,0.84466,0.67447,0.8871,0.64984,1.0827,0.000729725,0.000729725,0.000729725
16,1826.85,0.60211,0.64273,0.99208,0.81393,0.77033,0.86409,0.71118,0.81818,0.61968,1.06609,0.000694428,0.000694428,0.000694428
17,1940.51,0.57524,0.60409,0.97824,0.75615,0.82602,0.86233,0.72369,0.75327,0.60946,1.02725,0.000657963,0.000657963,0.000657963
18,2053.95,0.57114,0.58585,0.97463,0.80229,0.81076,0.87982,0.6816,0.96351,0.58973,1.09387,0.000620555,0.000620555,0.000620555
19,2166.8,0.56247,0.56598,0.96852,0.75922,0.83863,0.8899,0.70429,0.89931,0.57008,1.06514,0.000582435,0.000582435,0.000582435
20,2279.89,0.55217,0.54973,0.96167,0.81833,0.8089,0.88697,0.65854,1.06771,0.6025,1.1493,0.000543837,0.000543837,0.000543837
21,2392.97,0.54518,0.54691,0.95942,0.77389,0.81507,0.88768,0.74202,0.77446,0.57761,1.0354,0.000505,0.000505,0.000505
22,2506.22,0.53358,0.53502,0.95774,0.85047,0.76504,0.89791,0.7528,0.74455,0.53576,1.0277,0.000466163,0.000466163,0.000466163
23,2619.57,0.51848,0.51994,0.94444,0.86007,0.79172,0.90005,0.7573,0.74598,0.56648,1.02809,0.000427565,0.000427565,0.000427565
24,2733.11,0.50794,0.49679,0.93979,0.81683,0.80946,0.89038,0.737,0.79865,0.53242,1.03345,0.000389445,0.000389445,0.000389445
25,2846.17,0.4984,0.4795,0.93227,0.78591,0.8511,0.89802,0.76224,0.72337,0.52033,1.00088,0.000352037,0.000352037,0.000352037
26,2959.29,0.48951,0.47112,0.93254,0.81915,0.81562,0.89432,0.74417,0.78323,0.54868,1.02852,0.000315572,0.000315572,0.000315572
27,3072.99,0.48539,0.46251,0.92691,0.85933,0.8052,0.90326,0.7667,0.71714,0.50097,1.0029,0.000280275,0.000280275,0.000280275
28,3186.35,0.48089,0.44811,0.928,0.83732,0.83806,0.91697,0.7884,0.69244,0.48343,0.99441,0.000246363,0.000246363,0.000246363
29,3299.4,0.47314,0.44085,0.92576,0.84518,0.8148,0.90392,0.76824,0.71549,0.48206,1.00293,0.000214046,0.000214046,0.000214046
30,3412.37,0.46555,0.42479,0.91801,0.83828,0.8248,0.90324,0.77461,0.69526,0.48207,0.99982,0.000183523,0.000183523,0.000183523
31,3525.49,0.39369,0.30275,0.88409,0.78717,0.84695,0.89993,0.763,0.71878,0.48634,1.00429,0.000154982,0.000154982,0.000154982
32,3637.45,0.38788,0.29328,0.87799,0.85251,0.82381,0.90286,0.76941,0.71295,0.4982,1.00238,0.000128599,0.000128599,0.000128599
33,3748.93,0.38137,0.28669,0.8698,0.82619,0.83691,0.91364,0.77781,0.71336,0.46055,1.00542,0.000104537,0.000104537,0.000104537
34,3860.13,0.37001,0.27945,0.86828,0.77912,0.88567,0.9176,0.78506,0.69657,0.44542,0.99308,8.29431e-05,8.29431e-05,8.29431e-05
35,3971.4,0.36051,0.26528,0.86209,0.88128,0.81292,0.91915,0.78592,0.70798,0.44628,0.99616,6.39518e-05,6.39518e-05,6.39518e-05
36,4083.44,0.3588,0.26332,0.86326,0.85576,0.82965,0.91636,0.78696,0.69968,0.45671,0.99581,4.76796e-05,4.76796e-05,4.76796e-05
37,4195.18,0.35265,0.2525,0.86006,0.87202,0.81851,0.9221,0.79345,0.68818,0.43576,0.99001,3.4227e-05,3.4227e-05,3.4227e-05
38,4306.96,0.34275,0.24925,0.85541,0.85832,0.83284,0.92464,0.79684,0.68347,0.43558,0.98888,2.36769e-05,2.36769e-05,2.36769e-05
39,4418.78,0.34494,0.25064,0.85696,0.86405,0.82934,0.92055,0.79322,0.69436,0.4371,0.99119,1.60943e-05,1.60943e-05,1.60943e-05
